locus_tag	ftype	length_bp	gene	EC_number	COG	product
BJKHBEAE_00657	CDS	738	bamD		COG4105	Outer membrane protein assembly factor BamD
BJKHBEAE_00658	CDS	342	raiA		COG1544	Ribosome-associated inhibitor A
BJKHBEAE_00659	CDS	1161	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
BJKHBEAE_00660	CDS	1122	tyrA		COG0287	T-protein
BJKHBEAE_00661	CDS	1071	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
BJKHBEAE_00662	CDS	363				hypothetical protein
BJKHBEAE_00663	CDS	519	yfiR			Negative regulator YfiR
BJKHBEAE_00664	CDS	1227	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
BJKHBEAE_00665	CDS	483	yfiB			Outer-membrane lipoprotein YfiB
BJKHBEAE_00666	CDS	348	rplS		COG0335	Large ribosomal subunit protein bL19
BJKHBEAE_00667	CDS	768	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
BJKHBEAE_00668	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
BJKHBEAE_00669	CDS	249	rpsP		COG0228	Small ribosomal subunit protein bS16
BJKHBEAE_00670	CDS	1362	ffh	3.6.5.4	COG0541	Signal recognition particle protein
BJKHBEAE_00671	CDS	867	ypjD		COG4137	Inner membrane protein YpjD
BJKHBEAE_00672	CDS	1242				hypothetical protein
BJKHBEAE_00673	CDS	594	grpE			Protein GrpE
BJKHBEAE_00674	CDS	879	nadK	2.7.1.23	COG0061	NAD kinase
BJKHBEAE_00675	CDS	1662	recN		COG0497	DNA repair protein RecN
BJKHBEAE_00676	CDS	342	bamE		COG2913	Outer membrane protein assembly factor BamE
BJKHBEAE_00677	CDS	291				hypothetical protein
BJKHBEAE_00678	CDS	477	ratA		COG2867	Ribosome association toxin RatA
BJKHBEAE_00679	CDS	483	smpB		COG0691	SsrA-binding protein
BJKHBEAE_00680	CDS	126				hypothetical protein
BJKHBEAE_00681	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
BJKHBEAE_00682	CDS	1242	intA_1		COG0582	Prophage integrase IntA
BJKHBEAE_00683	CDS	957				hypothetical protein
BJKHBEAE_00684	CDS	213				hypothetical protein
BJKHBEAE_00685	CDS	1410				hypothetical protein
BJKHBEAE_00686	CDS	627				hypothetical protein
BJKHBEAE_00687	CDS	2190	abpB		COG1204	Anti-bacteriophage protein B
BJKHBEAE_00688	CDS	1617	abpA			Anti-bacteriophage protein A
BJKHBEAE_00689	CDS	1074	rnlA	3.1.-.-		mRNA endoribonuclease toxin LS
BJKHBEAE_00690	CDS	372	rnlB			Antitoxin RnlB
BJKHBEAE_00691	CDS	864	era_1			GTPase Era
BJKHBEAE_00692	CDS	822				hypothetical protein
BJKHBEAE_00693	CDS	702				hypothetical protein
BJKHBEAE_00694	CDS	237				hypothetical protein
BJKHBEAE_00695	CDS	444	yfjS			Lipoprotein YfjS
BJKHBEAE_00696	CDS	468				hypothetical protein
BJKHBEAE_00697	CDS	315				hypothetical protein
BJKHBEAE_00698	CDS	594	arsB_1		COG1055	Arsenical pump membrane protein
BJKHBEAE_00699	CDS	201	arsB_2		COG1055	Arsenical pump membrane protein
BJKHBEAE_00700	CDS	1704				hypothetical protein
BJKHBEAE_00701	CDS	459	klcA_1			Antirestriction protein KlcA
BJKHBEAE_00702	CDS	483				hypothetical protein
BJKHBEAE_00703	CDS	201				hypothetical protein
BJKHBEAE_00704	CDS	318	yfjZ_1			Antitoxin YfjZ
BJKHBEAE_00705	CDS	330	ypjF			Toxin YpjF
BJKHBEAE_00706	CDS	4581	ypjA_1		COG3468	putative autotransporter YpjA
BJKHBEAE_00707	CDS	792				hypothetical protein
BJKHBEAE_00708	CDS	483				hypothetical protein
BJKHBEAE_00709	tRNA	76				tRNA-Met(cat)
BJKHBEAE_00710	CDS	333				hypothetical protein
BJKHBEAE_00711	CDS	687				hypothetical protein
BJKHBEAE_00712	CDS	792				hypothetical protein
BJKHBEAE_00713	CDS	978	glaH	1.14.11.64		Glutarate 2-hydroxylase
BJKHBEAE_00714	CDS	1269	lhgD	1.1.5.13	COG0579	L-2-hydroxyglutarate dehydrogenase
BJKHBEAE_00715	CDS	1449	gabD	1.2.1.79	COG1012	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD
BJKHBEAE_00716	CDS	1281	gabT	2.6.1.19	COG0160	4-aminobutyrate aminotransferase GabT
BJKHBEAE_00717	CDS	1401	gabP		COG1113	Gamma-aminobutyric acid permease
BJKHBEAE_00718	CDS	663	glaR		COG1802	HTH-type transcriptional repressor GlaR
BJKHBEAE_00719	CDS	450	kbp		COG1652	Potassium binding protein Kbp
BJKHBEAE_00720	CDS	159				hypothetical protein
BJKHBEAE_00721	CDS	300	ygaV		COG0640	HTH-type transcriptional regulator YgaV
BJKHBEAE_00722	CDS	525	ygaP	2.8.1.1	COG0607	Thiosulfate sulfurtransferase YgaP
BJKHBEAE_00723	CDS	405	stpA		COG2916	DNA-binding protein StpA
BJKHBEAE_00724	CDS	450	alaE			L-alanine exporter AlaE
BJKHBEAE_00725	CDS	345				hypothetical protein
BJKHBEAE_00726	CDS	330	ygaM		COG4575	putative protein YgaM
BJKHBEAE_00727	CDS	246	nrdH		COG0695	Glutaredoxin-like protein NrdH
BJKHBEAE_00728	CDS	411	nrdI		COG1780	Protein NrdI
BJKHBEAE_00729	CDS	2145	nrdE	1.17.4.1	COG0209	Ribonucleoside-diphosphate reductase 2 subunit alpha
BJKHBEAE_00730	CDS	960	nrdF	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase 2 subunit beta
BJKHBEAE_00731	CDS	1203	proV		COG4175	Glycine betaine/proline betaine transport system ATP-binding protein ProV
BJKHBEAE_00732	CDS	1065	proW		COG4176	Glycine betaine/proline betaine transport system permease protein ProW
BJKHBEAE_00733	CDS	993	proX		COG2113	Glycine betaine/proline betaine-binding periplasmic protein
BJKHBEAE_00734	CDS	267			COG2814	putative transporter
BJKHBEAE_00735	CDS	918			COG2814	putative transporter
BJKHBEAE_00736	CDS	738	ygaZ		COG1296	Inner membrane protein YgaZ
BJKHBEAE_00737	CDS	336				hypothetical protein
BJKHBEAE_00738	CDS	531	mprA		COG1846	Transcriptional repressor MprA
BJKHBEAE_00739	CDS	1173	emrA		COG1566	Multidrug export protein EmrA
BJKHBEAE_00740	CDS	1539	emrB		COG2814	Multidrug export protein EmrB
BJKHBEAE_00741	CDS	516	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
BJKHBEAE_00742	CDS	1557	gshA	6.3.2.2	COG2918	Glutamate--cysteine ligase
BJKHBEAE_00743	CDS	429	yqaA		COG1238	Inner membrane protein YqaA
BJKHBEAE_00744	CDS	567	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
BJKHBEAE_00745	tRNA	93				tRNA-Ser(gct)
BJKHBEAE_00746	CDS	186	csrA		COG1551	Carbon storage regulator
BJKHBEAE_00747	CDS	2631	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
BJKHBEAE_00748	CDS	501	recX		COG2137	Regulatory protein RecX
BJKHBEAE_00749	CDS	1062	recA			Protein RecA
BJKHBEAE_00750	CDS	498	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
BJKHBEAE_00751	CDS	1191	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
BJKHBEAE_00752	CDS	564	srlA		COG3730	PTS system glucitol/sorbitol-specific EIIC component
BJKHBEAE_00753	CDS	960	srlE	2.7.1.198	COG3732	PTS system glucitol/sorbitol-specific EIIB component
BJKHBEAE_00754	CDS	372	srlB		COG3731	PTS system glucitol/sorbitol-specific EIIA component
BJKHBEAE_00755	CDS	780	srlD	1.1.1.140	COG1028	Sorbitol-6-phosphate 2-dehydrogenase
BJKHBEAE_00756	CDS	360				hypothetical protein
BJKHBEAE_00757	CDS	774	srlR_1		COG1349	Glucitol operon repressor
BJKHBEAE_00758	CDS	966	gutQ	5.3.1.13	COG0517	Arabinose 5-phosphate isomerase GutQ
BJKHBEAE_00759	CDS	1515	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
BJKHBEAE_00760	CDS	1440	norV		COG0426	Anaerobic nitric oxide reductase flavorubredoxin
BJKHBEAE_00761	CDS	1134	norW	1.18.1.-	COG0446	Nitric oxide reductase FlRd-NAD(+) reductase
BJKHBEAE_00762	CDS	2253	hypF	6.2.-.-	COG0068	Carbamoyltransferase HypF
BJKHBEAE_00763	CDS	528	aegA_1		COG0493	Putative oxidoreductase AegA
BJKHBEAE_00764	CDS	1014	ascG		COG1609	HTH-type transcriptional regulator AscG
BJKHBEAE_00765	CDS	1458	sacP		COG1263	PTS system sucrose-specific EIIBC component
BJKHBEAE_00766	CDS	1425	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
BJKHBEAE_00767	CDS	471	hycI	3.4.23.51	COG0680	Hydrogenase 3 maturation protease
BJKHBEAE_00768	CDS	411				hypothetical protein
BJKHBEAE_00769	CDS	768	hycG_1		COG3260	Formate hydrogenlyase subunit 7
BJKHBEAE_00770	CDS	543	hycF_1		COG1143	Formate hydrogenlyase subunit 6
BJKHBEAE_00771	CDS	1710	hycE		COG3261	Formate hydrogenlyase subunit 5
BJKHBEAE_00772	CDS	924	hycD		COG0650	Formate hydrogenlyase subunit 4
BJKHBEAE_00773	CDS	1827	hycC		COG0651	Formate hydrogenlyase subunit 3
BJKHBEAE_00774	CDS	612	hycB		COG1142	Formate hydrogenlyase subunit 2
BJKHBEAE_00775	CDS	462	hycA			Formate hydrogenlyase regulatory protein HycA
BJKHBEAE_00776	CDS	351	hypA		COG0375	Hydrogenase maturation factor HypA
BJKHBEAE_00777	CDS	873	hypB		COG0378	Hydrogenase maturation factor HypB
BJKHBEAE_00778	CDS	273	hypC		COG0298	Hydrogenase maturation factor HypC
BJKHBEAE_00779	CDS	1122	hypD		COG0409	Hydrogenase maturation factor HypD
BJKHBEAE_00780	CDS	1011	hypE	4.2.1.-	COG0309	Carbamoyl dehydratase HypE
BJKHBEAE_00781	CDS	2079	fhlA		COG3604	Formate hydrogenlyase transcriptional activator FhlA
BJKHBEAE_00782	CDS	354				hypothetical protein
BJKHBEAE_00783	CDS	135				hypothetical protein
BJKHBEAE_00784	CDS	2562	mutS		COG0249	DNA mismatch repair protein MutS
BJKHBEAE_00785	CDS	657	pphB	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 2
BJKHBEAE_00786	CDS	768	glcR		COG1349	HTH-type transcriptional repressor GlcR
BJKHBEAE_00787	CDS	909	ltnD	1.1.1.411	COG2084	L-threonate dehydrogenase
BJKHBEAE_00788	CDS	1167	otnK	2.7.1.217		3-oxo-tetronate kinase
BJKHBEAE_00789	CDS	639	otnC	4.1.1.104	COG0235	3-oxo-tetronate 4-phosphate decarboxylase
BJKHBEAE_00790	CDS	777	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
BJKHBEAE_00791	CDS	1365	ygbN		COG2610	Inner membrane permease YgbN
BJKHBEAE_00792	CDS	294	rpoS_1			RNA polymerase sigma factor RpoS
BJKHBEAE_00793	CDS	693	rpoS_2		COG0568	RNA polymerase sigma factor RpoS
BJKHBEAE_00794	CDS	1140	nlpD_1		COG1388	Murein hydrolase activator NlpD
BJKHBEAE_00795	CDS	627	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
BJKHBEAE_00796	CDS	762	surE	3.1.3.5	COG0496	5'/3'-nucleotidase SurE
BJKHBEAE_00797	CDS	1050	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
BJKHBEAE_00798	CDS	480	ispF	4.6.1.12	COG0245	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
BJKHBEAE_00799	CDS	711	ispD	2.7.7.60	COG1211	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
BJKHBEAE_00800	CDS	312	ftsB		COG2919	Cell division protein FtsB
BJKHBEAE_00801	CDS	324	ygbE			Inner membrane protein YgbE
BJKHBEAE_00802	CDS	606	cysC	2.7.1.25	COG0529	Adenylyl-sulfate kinase
BJKHBEAE_00803	CDS	1428	cysN	2.7.7.4	COG2895	Sulfate adenylyltransferase subunit 1
BJKHBEAE_00804	CDS	909	cysD	2.7.7.4	COG0175	Sulfate adenylyltransferase subunit 2
BJKHBEAE_00805	CDS	1038				hypothetical protein
	repeat_region	763				
BJKHBEAE_00806	CDS	285	ygbF	3.1.-.-	COG0847	CRISPR-associated endoribonuclease Cas2
BJKHBEAE_00807	CDS	918	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
BJKHBEAE_00808	CDS	600	casE	3.1.-.-		CRISPR system Cascade subunit CasE
BJKHBEAE_00809	CDS	675	casD			CRISPR system Cascade subunit CasD
BJKHBEAE_00810	CDS	1092	casC		COG1857	CRISPR system Cascade subunit CasC
BJKHBEAE_00811	CDS	483	casB			CRISPR system Cascade subunit CasB
BJKHBEAE_00812	CDS	1509	casA			CRISPR system Cascade subunit CasA
BJKHBEAE_00813	CDS	2667	ygcB	3.1.-.-	COG1203	CRISPR-associated endonuclease/helicase Cas3
BJKHBEAE_00814	CDS	735	cysH	1.8.4.8	COG0175	Phosphoadenosine 5'-phosphosulfate reductase
BJKHBEAE_00815	CDS	1713	cysI	1.8.1.2	COG0155	Sulfite reductase [NADPH] hemoprotein beta-component
BJKHBEAE_00816	CDS	1800	cysJ	1.8.1.2	COG0369	Sulfite reductase [NADPH] flavoprotein alpha-component
BJKHBEAE_00817	CDS	366	queD	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
BJKHBEAE_00818	CDS	1272		1.5.5.1		Electron transfer flavoprotein-ubiquinone oxidoreductase
BJKHBEAE_00819	CDS	261	fixX_2		COG2440	Ferredoxin-like protein FixX
BJKHBEAE_00820	CDS	576	ygcP		COG1954	putative protein YgcP
BJKHBEAE_00821	CDS	861	lctC	1.1.1.436	COG1145	Lactate dehydrogenase (NAD(+),ferredoxin) subunit LctC
BJKHBEAE_00822	CDS	780				hypothetical protein
BJKHBEAE_00823	CDS	1410	ygcS_1		COG0477	Inner membrane metabolite transport protein YgcS
BJKHBEAE_00824	CDS	1455	d2hgdh	1.1.99.39	COG0277	D-2-hydroxyglutarate dehydrogenase
BJKHBEAE_00825	CDS	786	kduD_1	1.1.1.127	COG1028	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
BJKHBEAE_00826	CDS	1278	yqcE		COG2223	Inner membrane protein YqcE
BJKHBEAE_00827	CDS	1479	lsrK_1	2.7.1.189	COG1070	Autoinducer-2 kinase
	repeat_region	394				
BJKHBEAE_00828	CDS	672	queE	4.3.99.3	COG0602	7-carboxy-7-deazaguanine synthase
BJKHBEAE_00829	CDS	141	yqcG			putative protein YqcG
BJKHBEAE_00830	CDS	873				hypothetical protein
BJKHBEAE_00831	CDS	1299	eno	4.2.1.11	COG0148	Enolase
BJKHBEAE_00832	CDS	1638	pyrG	6.3.4.2	COG0504	CTP synthase
BJKHBEAE_00833	CDS	792	mazG	3.6.1.8	COG3956	Nucleoside triphosphate pyrophosphohydrolase
BJKHBEAE_00834	CDS	336	mazF	3.1.27.-	COG2337	Endoribonuclease toxin MazF
BJKHBEAE_00835	CDS	249	mazE		COG2336	Antitoxin MazE
BJKHBEAE_00836	CDS	2235	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
BJKHBEAE_00837	CDS	1302	rlmD	2.1.1.190	COG2265	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD
BJKHBEAE_00838	CDS	2757	barA	2.7.13.3	COG2205	Signal transduction histidine-protein kinase BarA
BJKHBEAE_00839	CDS	1341	gudD	4.2.1.40	COG4948	Glucarate dehydratase
BJKHBEAE_00840	CDS	1341	gudX	4.2.1.-	COG4948	Glucarate dehydratase-related protein
BJKHBEAE_00841	CDS	1353	gudP		COG2271	putative galactarate/D-glucarate transporter GudP
BJKHBEAE_00842	CDS	450	yqcA		COG0716	Flavodoxin YqcA
BJKHBEAE_00843	CDS	783	truC	5.4.99.26	COG0564	tRNA pseudouridine synthase C
BJKHBEAE_00844	CDS	330	yqcC		COG3098	putative protein YqcC
BJKHBEAE_00845	CDS	546	syd			Protein Syd
BJKHBEAE_00846	CDS	849	queF	1.7.1.13	COG0780	NADPH-dependent 7-cyano-7-deazaguanine reductase
BJKHBEAE_00847	CDS	1365	ppnN	3.2.2.-	COG1611	Pyrimidine/purine nucleotide 5'-monophosphate nucleosidase
BJKHBEAE_00848	CDS	1290	sdaC		COG0814	Serine transporter SdaC
BJKHBEAE_00849	CDS	1368	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
BJKHBEAE_00850	CDS	756	ygdG	3.1.-.-	COG0258	Flap endonuclease Xni
BJKHBEAE_00851	CDS	1149	fucO	1.1.1.77	COG1454	Lactaldehyde reductase
BJKHBEAE_00852	CDS	648	fucA	4.1.2.17	COG0235	L-fuculose phosphate aldolase
BJKHBEAE_00853	CDS	1317	fucP		COG0738	L-fucose-proton symporter
BJKHBEAE_00854	CDS	1776	fucI	5.3.1.25	COG2407	L-fucose isomerase
BJKHBEAE_00855	CDS	1419	fucK	2.7.1.51	COG1070	L-fuculokinase
BJKHBEAE_00856	CDS	423	fucU	5.1.3.29	COG4154	L-fucose mutarotase
BJKHBEAE_00857	CDS	732	ydjF_2		COG1349	putative HTH-type transcriptional regulator YdjF
BJKHBEAE_00858	CDS	1101	rlmM	2.1.1.186	COG2933	Ribosomal RNA large subunit methyltransferase M
BJKHBEAE_00859	CDS	396				hypothetical protein
BJKHBEAE_00860	CDS	918	gcvA		COG0583	Glycine cleavage system transcriptional activator
BJKHBEAE_00861	CDS	228	ygdR_1			putative lipoprotein YgdR
BJKHBEAE_00862	CDS	1206	csdA	2.8.1.7	COG0520	Cysteine desulfurase CsdA
BJKHBEAE_00863	CDS	444	csdE		COG2166	Sulfur acceptor protein CsdE
BJKHBEAE_00864	CDS	807	tcdA	6.1.-.-	COG1179	tRNA threonylcarbamoyladenosine dehydratase
BJKHBEAE_00865	CDS	1098	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
BJKHBEAE_00866	tRNA	77				tRNA-Met(cat)
BJKHBEAE_00867	CDS	1254	amiC	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiC
BJKHBEAE_00868	CDS	1332	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
BJKHBEAE_00869	CDS	1827	recD	5.6.2.3	COG0507	RecBCD enzyme subunit RecD
BJKHBEAE_00870	CDS	3543	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
BJKHBEAE_00871	CDS	2889	ptrA	3.4.24.55	COG1025	Protease 3
BJKHBEAE_00872	CDS	3369	recC		COG1330	RecBCD enzyme subunit RecC
BJKHBEAE_00873	CDS	324				hypothetical protein
BJKHBEAE_00874	CDS	408				hypothetical protein
BJKHBEAE_00875	CDS	564				hypothetical protein
BJKHBEAE_00876	CDS	471				hypothetical protein
BJKHBEAE_00877	CDS	795	thyA_1	2.1.1.45		Thymidylate synthase
BJKHBEAE_00878	CDS	876	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
BJKHBEAE_00879	CDS	2247	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
BJKHBEAE_00880	CDS	531	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
BJKHBEAE_00881	CDS	147				hypothetical protein
BJKHBEAE_00882	CDS	690	mutH		COG3066	DNA mismatch repair protein MutH
BJKHBEAE_00883	CDS	714				hypothetical protein
BJKHBEAE_00884	CDS	219	ygdR_2			putative lipoprotein YgdR
BJKHBEAE_00885	CDS	1041	tas		COG0667	Protein tas
BJKHBEAE_00886	CDS	1194	lplT		COG0477	Lysophospholipid transporter LplT
BJKHBEAE_00887	CDS	2160	aas		COG0204	Bifunctional protein Aas
BJKHBEAE_00888	CDS	1032	galR		COG1609	HTH-type transcriptional regulator GalR
BJKHBEAE_00889	CDS	1263	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
BJKHBEAE_00890	CDS	936	dgcR			HTH-type transcriptional regulator DgcR
BJKHBEAE_00891	CDS	693	ygeA	5.1.1.10	COG1794	Broad specificity amino-acid racemase YgeA
BJKHBEAE_00892	CDS	1419	araE		COG2814	Arabinose-proton symporter
BJKHBEAE_00893	CDS	762	kduD_2	1.1.1.127	COG1028	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
BJKHBEAE_00894	CDS	837	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
BJKHBEAE_00895	CDS	1182	atoB_1	2.3.1.9		Acetyl-CoA acetyltransferase
BJKHBEAE_00896	CDS	1230	yqeG		COG0814	Inner membrane transport protein YqeG
BJKHBEAE_00897	CDS	633				hypothetical protein
BJKHBEAE_00898	CDS	132				hypothetical protein
BJKHBEAE_00899	CDS	621				hypothetical protein
BJKHBEAE_00900	CDS	483				hypothetical protein
BJKHBEAE_00901	CDS	141				hypothetical protein
BJKHBEAE_00902	CDS	426				hypothetical protein
BJKHBEAE_00903	CDS	447				hypothetical protein
BJKHBEAE_00904	CDS	492	sicA			Chaperone protein SicA
BJKHBEAE_00905	CDS	1377	hilA			Transcriptional regulator HilA
BJKHBEAE_00906	CDS	219				hypothetical protein
BJKHBEAE_00907	CDS	375				hypothetical protein
BJKHBEAE_00908	CDS	444	ygeK		COG2197	putative response regulatory protein YgeK
BJKHBEAE_00909	CDS	156				hypothetical protein
BJKHBEAE_00910	CDS	432				hypothetical protein
BJKHBEAE_00911	CDS	273				hypothetical protein
BJKHBEAE_00912	CDS	1203	nupC		COG1972	Nucleoside permease NupC
BJKHBEAE_00913	CDS	1239	mntH		COG1914	Divalent metal cation transporter MntH
BJKHBEAE_00914	CDS	327				hypothetical protein
BJKHBEAE_00915	CDS	1257	yfeO			Putative ion-transport protein YfeO
BJKHBEAE_00916	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
BJKHBEAE_00917	CDS	327	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
BJKHBEAE_00918	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
BJKHBEAE_00919	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
BJKHBEAE_00920	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
BJKHBEAE_00921	CDS	2496	fryA_1		COG1080	Multiphosphoryl transfer protein 1
BJKHBEAE_00922	CDS	858	rhaR_1		COG1917	HTH-type transcriptional activator RhaR
BJKHBEAE_00923	CDS	735	ypdB		COG3279	Transcriptional regulatory protein YpdB
BJKHBEAE_00924	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
BJKHBEAE_00925	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
BJKHBEAE_00926	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
BJKHBEAE_00927	CDS	243				hypothetical protein
BJKHBEAE_00928	CDS	276				hypothetical protein
BJKHBEAE_00929	CDS	636	yfdX			Protein YfdX
BJKHBEAE_00930	CDS	1251	frc	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
BJKHBEAE_00931	CDS	1695	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
BJKHBEAE_00932	CDS	945				hypothetical protein
BJKHBEAE_00933	CDS	1146	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
BJKHBEAE_00934	CDS	3594	evgS	2.7.13.3	COG0784	Sensor protein EvgS
BJKHBEAE_00935	CDS	615	evgA		COG2197	DNA-binding transcriptional activator EvgA
BJKHBEAE_00936	CDS	1164	emrK		COG1566	putative multidrug resistance protein EmrK
BJKHBEAE_00937	CDS	1539	emrY		COG0477	putative multidrug resistance protein EmrY
BJKHBEAE_00938	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
BJKHBEAE_00939	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
BJKHBEAE_00940	CDS	936	dsdC		COG0583	HTH-type transcriptional regulator DsdC
BJKHBEAE_00941	CDS	201	torI		COG3311	Response regulator inhibitor for tor operon
BJKHBEAE_00942	CDS	306				hypothetical protein
BJKHBEAE_00943	CDS	363				hypothetical protein
BJKHBEAE_00944	CDS	537				hypothetical protein
BJKHBEAE_00945	CDS	825				hypothetical protein
BJKHBEAE_00946	CDS	363				hypothetical protein
BJKHBEAE_00947	CDS	369				hypothetical protein
BJKHBEAE_00948	CDS	495				hypothetical protein
BJKHBEAE_00949	CDS	276				hypothetical protein
BJKHBEAE_00950	CDS	603				hypothetical protein
BJKHBEAE_00951	CDS	441				hypothetical protein
BJKHBEAE_00952	CDS	303	tfaE_1		COG2110	Prophage tail fiber assembly protein TfaE
BJKHBEAE_00953	CDS	1332				hypothetical protein
BJKHBEAE_00954	CDS	921	yfdH	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
BJKHBEAE_00955	CDS	1158	intS_1		COG0582	Prophage integrase IntS
BJKHBEAE_00956	tRNA	75				tRNA-Arg(cct)
BJKHBEAE_00957	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
BJKHBEAE_00958	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
BJKHBEAE_00959	CDS	1059	icaT			Invasion chromosome antigen T
BJKHBEAE_00960	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
BJKHBEAE_00961	CDS	285				hypothetical protein
BJKHBEAE_00962	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
BJKHBEAE_00963	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
BJKHBEAE_00964	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
BJKHBEAE_00965	CDS	564	yfcV		COG3539	putative fimbrial-like protein YfcV
BJKHBEAE_00966	CDS	1737	papC_1			Outer membrane usher protein PapC
BJKHBEAE_00967	CDS	897	papC_2			Outer membrane usher protein PapC
BJKHBEAE_00968	CDS	753	yfcS		COG3121	putative fimbrial chaperone YfcS
BJKHBEAE_00969	CDS	513	yfcR		COG3539	putative fimbrial-like protein YfcR
BJKHBEAE_00970	CDS	489	yfcQ		COG3539	putative fimbrial-like protein YfcQ
BJKHBEAE_00971	CDS	540	yfcP		COG3539	putative fimbrial-like protein YfcP
BJKHBEAE_00972	CDS	822	yfcO			putative protein YfcO
BJKHBEAE_00973	CDS	552	smrB	3.1.-.-	COG2840	Ribosome rescue factor SmrB
BJKHBEAE_00974	CDS	933	prmB	2.1.1.298	COG2890	Ribosomal protein uL3 glutamine methyltransferase
BJKHBEAE_00975	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
BJKHBEAE_00976	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
BJKHBEAE_00977	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
BJKHBEAE_00978	CDS	549	epmC	1.14.13.-	COG3101	Elongation factor P lysine hydroxylase
BJKHBEAE_00979	CDS	279				hypothetical protein
BJKHBEAE_00980	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
BJKHBEAE_00981	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
BJKHBEAE_00982	CDS	1179	yfcJ		COG2814	putative MFS-type transporter YfcJ
